Product_name,Rating,price,Delivary_date,link
HUBTURE Everlasting Pencil,3.4,299,"Mon, 10 Nov",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjAxMzE0OTE1NTI1MzE2OjE3NjI0OTkwNzI6c3BfYXRmOjMwMDI2NDYwNTk4NzgzMjo6MDo6&url=%2FHUBTURE-Everlasting-Infinite-Infinity-Multicolor%2Fdp%2FB0D132WLP8%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1H4S2TTFDRQBB%26dib%3DeyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU%26dib_tag%3Dse%26keywords%3Dpencil%26qid%3D1762499072%26sprefix%3Dpencil%252Caps%252C306%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=77n2khrDFE&sp_cr=ZAZ
Forever Pencil - Plantable pencil with Seed - Eco-Friendly Return Gifts for Birthday,4.6,175,"Thu, 13 Nov",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjAxMzE0OTE1NTI1MzE2OjE3NjI0OTkwNzI6c3BfYXRmOjMwMDc0MDE5MDUwODAzMjo6MDo6&url=%2FHaathka-Homes-Forever-Pencil-Eco-Friendly%2Fdp%2FB0FLDJWJRL%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1H4S2TTFDRQBB%26dib%3DeyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU%26dib_tag%3Dse%26keywords%3Dpencil%26qid%3D1762499072%26sprefix%3Dpencil%252Caps%252C306%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=hXmNGPAnHr&sp_cr=ZAZ
Wynhard Drawing Pencils 47 Pcs Shading Pencils Set Drawing Kit Sketching Kit Sketch Pencils Set for Artists Charcoal Pencils for Artists Pencils for Artists Kit Graphite Pencil Set Artist Pencil Set,4.4,779,"Sun, 9 Nov",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjAxMzE0OTE1NTI1MzE2OjE3NjI0OTkwNzI6c3BfYXRmOjMwMDQyNjQ1Nzk4NTMzMjo6MDo6&url=%2FWynhard-Drawing-Sketching-Charcoal-Graphite%2Fdp%2FB0BLZBB9M4%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1H4S2TTFDRQBB%26dib%3DeyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU%26dib_tag%3Dse%26keywords%3Dpencil%26qid%3D1762499072%26sprefix%3Dpencil%252Caps%252C306%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=MKK1QEuYae&sp_cr=ZAZ
Pentonic Extra Dark Graphite Pencil Box Pack,4.1,100,"Mon, 10 Nov",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjAxMzE0OTE1NTI1MzE2OjE3NjI0OTkwNzI6c3BfYXRmOjMwMDUzNzM2MTk3MDgzMjo6MDo6&url=%2FPentonic-Extra-Dark-Graphite-Pencil%2Fdp%2FB07S9F8T17%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1H4S2TTFDRQBB%26dib%3DeyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU%26dib_tag%3Dse%26keywords%3Dpencil%26qid%3D1762499072%26sprefix%3Dpencil%252Caps%252C306%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=OAQbKXlyVK&sp_cr=ZAZ
Doms Zoom Ultimate Dark Triangle Pencil,4.3,180,"Mon, 10 Nov",https://www.amazon.in/Doms-Ultimate-Sharpener-Multicoloured-DM7274/dp/B09LM5ZLNX/ref=sr_1_5?crid=1H4S2TTFDRQBB&dib=eyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU&dib_tag=se&keywords=pencil&qid=1762499072&sprefix=pencil%2Caps%2C306&sr=8-5
BRUSTRO 2HB Pencils,4.3,87,"Mon, 10 Nov",https://www.amazon.in/BRUSTRO-Pre-Sharpened-Handwriting-Sketching-Graphite/dp/B09PNL8X62/ref=sr_1_6?crid=1H4S2TTFDRQBB&dib=eyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU&dib_tag=se&keywords=pencil&qid=1762499072&sprefix=pencil%2Caps%2C306&sr=8-6
Apsara Matt Magic Pencil 2.0 [Pack of 10],4.4,53,"Fri, 14 Nov",https://www.amazon.in/Apsara-Matt-Magic-Pencil-2-0/dp/B07Y896PWQ/ref=sr_1_7?crid=1H4S2TTFDRQBB&dib=eyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU&dib_tag=se&keywords=pencil&qid=1762499072&sprefix=pencil%2Caps%2C306&sr=8-7
Apsara Platinum Pencil Value Pack,4.4,99,"Thu, 13 Nov",https://www.amazon.in/Apsara-Platinum-Pencils-Value-Pack/dp/B00VA7YYUO/ref=sr_1_8?crid=1H4S2TTFDRQBB&dib=eyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU&dib_tag=se&keywords=pencil&qid=1762499072&sprefix=pencil%2Caps%2C306&sr=8-8
Doms Fusion Xtra Super Dark Pencil Box Pack,4.0,140,"Mon, 10 Nov",https://www.amazon.in/Doms-Writing-Sharpning-Comfortable-Erasner/dp/B07P5637YQ/ref=sr_1_9?crid=1H4S2TTFDRQBB&dib=eyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU&dib_tag=se&keywords=pencil&qid=1762499072&sprefix=pencil%2Caps%2C306&sr=8-9
BRUSTRO Extra Dark Pencils,4.3,70,"Sun, 9 Nov",https://www.amazon.in/BRUSTRO-Pencils-Sketching-Portrait-Students/dp/B0FJ2GF8K8/ref=sr_1_10?crid=1H4S2TTFDRQBB&dib=eyJ2IjoiMSJ9.DPV4CKjBskvF4b82ogpSjvSC34ccoVyLUSGdwaf6XdXv1KNdw_59uTb9JiIDJsxKaBeXlaRTE7kXlH8Vve_s7wTke0qYARkG27RcvN4cmtXjM8FJGuTqLoYkKQLQGsPpL6-h_pwgeEHSm4L4ilVocOmISRmJ3ovxCgnawCMx07MNnPWNYK7iHXL_NEtxpA2d5aZ51UNZOkbmOhcL2HKYzneW4_jKSLFlkM5fL5OnEQDMv2jyN9641nH44YUX8WrJtbBlBYi57dDjE2TGuyCFV_-FNZ4R1fCaOwqtR81QuHE.cOW_bdv3OLS_NN7GFLf3f5R0GSZIIvefZLlYLdAfzYU&dib_tag=se&keywords=pencil&qid=1762499072&sprefix=pencil%2Caps%2C306&sr=8-10
